using device 0 NVIDIA GeForce RTX 3090
DEVICE: cuda
client_num: 1
tensor(0.4251, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0214, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.3536, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0206, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.2987, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0218, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.2446, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0213, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.2051, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0207, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1733, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0193, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1469, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0180, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1265, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0171, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1131, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0171, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1058, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0167, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0989, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0159, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0910, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0148, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0897, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0143, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0869, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0131, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0871, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0122, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0855, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0118, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0888, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0115, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0863, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0111, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0879, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0105, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0854, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0098, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0883, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0097, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0799, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0086, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0796, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0084, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0795, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0082, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0790, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0079, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0747, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0069, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0721, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0073, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0696, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0062, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0698, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0065, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0684, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0060, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0673, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0058, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0641, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0056, device='cuda:0', grad_fn=<MeanBackward0>)
