using device 0 NVIDIA GeForce RTX 3090
DEVICE: cuda
client_num: 1
========== 开始训练 ==========
第一阶段：训练本地模型...
tensor(0.4399, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0224, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.3714, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0236, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.3072, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0209, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.2556, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0210, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.2136, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0205, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1782, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0188, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1545, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0201, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1329, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0186, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1147, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0182, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1069, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0176, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0989, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0162, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0872, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0139, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0890, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0147, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0878, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0145, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0863, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0126, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0860, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0121, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0831, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0112, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0855, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0108, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0852, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0107, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0876, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0102, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0843, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0095, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0815, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0086, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0843, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0087, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0786, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0081, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0787, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0076, device='cuda:0', grad_fn=<MeanBackward0>)
